number,value,datetime_start,datetime_complete,duration,params_activation,params_denses,params_drop_rate0,params_drop_rate1,params_drop_rate2,params_drop_rate3,params_drop_rate4,state
34,0.016779021789950204,2020-11-24 18:34:38.340437,2020-11-24 18:40:28.074010,0 days 00:05:49.733573,relu,"[512, 1536, 768, 512]",0.40933688130306617,0.28277369572471,0.4456183087215809,0.24253755405044763,0.49848958570319735,COMPLETE
35,0.016643102044846553,2020-11-24 18:40:28.099965,2020-11-24 18:46:12.313922,0 days 00:05:44.213957,relu,"[512, 1536, 768, 512]",0.3246594908284598,0.20065361895925987,0.4081894628974021,0.20751343656650256,0.5000916917366219,COMPLETE
36,0.01664236245388507,2020-11-24 18:46:12.339278,2020-11-24 18:51:59.301504,0 days 00:05:46.962226,relu,"[512, 1536, 768, 512]",0.32990857259276385,0.2011278775728585,0.4319368017151429,0.22785794750421381,0.5207530761239774,COMPLETE
37,0.01664623579304181,2020-11-24 18:51:59.325905,2020-11-24 18:57:46.304898,0 days 00:05:46.978993,relu,"[512, 1536, 768, 512]",0.32606018148979965,0.22668698379874816,0.4340209163042551,0.2051552876001285,0.5016420815576386,COMPLETE
38,0.01713976785141894,2020-11-24 18:57:46.356785,2020-11-24 19:03:37.727518,0 days 00:05:51.370733,elu,"[512, 1536, 768, 512]",0.32271387935457596,0.2122899643506266,0.43730738964506055,0.21876574706572408,0.5125983582008184,COMPLETE
39,0.01666714304600877,2020-11-24 19:03:37.751686,2020-11-24 19:09:28.330512,0 days 00:05:50.578826,relu,"[512, 1536, 768, 512]",0.2587917453880317,0.207996156858248,0.4062526903554169,0.2015521547766663,0.42192125213824616,COMPLETE
40,0.017059917400507857,2020-11-24 19:09:28.357877,2020-11-24 19:15:18.050732,0 days 00:05:49.692855,elu,"[512, 1536, 768, 512]",0.23119707522588767,0.24579649158237185,0.3879242810366116,0.2673853484755521,0.30284400769663816,COMPLETE
41,0.01669775098963038,2020-11-24 19:15:18.074010,2020-11-24 19:21:04.471773,0 days 00:05:46.397763,relu,"[512, 1536, 768, 512]",0.33710572102153175,0.20026220214678533,0.42716500141400715,0.20031728068203844,0.419602946512573,COMPLETE
42,0.016730049791318168,2020-11-24 19:21:04.496974,2020-11-24 19:26:48.027611,0 days 00:05:43.530637,relu,"[512, 1536, 768, 512]",0.28952122608742276,0.20557627919613292,0.4108718909767215,0.2019408342811425,0.36901621296943166,COMPLETE
43,0.017298297018430567,2020-11-24 19:26:48.054864,2020-11-24 19:33:55.469530,0 days 00:07:07.414666,relu,"[2048, 1792, 1536, 1280]",0.33796236718558126,0.225593317422234,0.481177749538603,0.20232337602030326,0.42716365207665535,COMPLETE
