number,value,datetime_start,datetime_complete,duration,params_activation0,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_activation6,params_activation7,params_dense0,params_dense1,params_dense2,params_dense3,params_dense4,params_dense5,params_drop_rate0,params_drop_rate1,state
53,0.015997278,13:28.2,20:42.6,0 days 00:07:14.344115,selu,selu,selu,selu,selu,selu,elu,selu,441,681,673,998,950,1024,0.74983394,0.565508321,COMPLETE
14,0.015998076,59:45.7,06:25.5,0 days 00:06:39.871957,selu,selu,selu,selu,selu,elu,relu,selu,356,408,286,905,1022,843,0.629878898,0.55373124,COMPLETE
68,0.015998563,53:34.7,57:55.8,0 days 00:04:21.193062,selu,selu,selu,relu,selu,elu,elu,selu,447,864,527,1022,847,823,0.766284043,0.607321406,COMPLETE
69,0.015999137,57:55.9,02:26.0,0 days 00:04:30.085372,selu,selu,selu,selu,selu,elu,elu,selu,479,932,595,905,897,898,0.789724533,0.663898775,COMPLETE
84,0.015999367,10:03.6,14:14.3,0 days 00:04:10.696221,elu,selu,selu,selu,selu,elu,elu,selu,317,982,725,418,790,677,0.788578488,0.566629331,COMPLETE
49,0.015999631,48:23.4,54:21.2,0 days 00:05:57.838521,selu,relu,selu,elu,selu,relu,relu,relu,585,534,613,993,693,744,0.862614224,0.537971573,COMPLETE
73,0.016001161,15:33.3,19:57.3,0 days 00:04:24.023142,selu,selu,selu,selu,selu,elu,elu,selu,364,969,549,956,813,974,0.754525565,0.591791389,COMPLETE
26,0.016005176,00:10.8,11:01.2,0 days 00:10:50.415295,selu,selu,selu,selu,relu,elu,relu,elu,542,371,571,874,842,881,0.760690191,0.52868508,COMPLETE
10,0.016005853,31:54.8,38:28.6,0 days 00:06:33.823184,selu,relu,selu,selu,selu,elu,relu,elu,284,300,282,984,684,908,0.683438679,0.500743581,COMPLETE
20,0.016006765,57:47.0,08:09.3,0 days 00:10:22.268395,selu,elu,elu,selu,selu,elu,selu,elu,460,495,389,824,599,905,0.731092023,0.755603835,COMPLETE
90,0.016010513,35:12.2,39:26.6,0 days 00:04:14.413127,selu,selu,selu,selu,selu,elu,elu,selu,339,885,623,870,959,972,0.734462674,0.704761967,COMPLETE
46,0.01601152,29:41.0,34:47.7,0 days 00:05:06.706951,elu,selu,relu,relu,selu,relu,relu,selu,333,340,269,723,903,500,0.658575629,0.720197101,COMPLETE
18,0.016018094,34:41.6,46:22.3,0 days 00:11:40.699610,selu,elu,selu,selu,selu,elu,relu,selu,362,404,1016,1016,611,1021,0.887871549,0.553074252,COMPLETE
80,0.016020485,49:49.9,57:49.4,0 days 00:07:59.512891,elu,selu,selu,selu,elu,elu,elu,relu,381,758,698,518,743,399,0.783613317,0.629136253,COMPLETE
36,0.01602121,48:16.9,58:19.9,0 days 00:10:03.024852,selu,selu,elu,selu,relu,selu,elu,selu,499,459,807,853,1017,800,0.652969218,0.63243185,COMPLETE
6,0.01602331,02:31.5,09:33.4,0 days 00:07:01.965733,elu,elu,elu,relu,relu,elu,relu,selu,592,877,553,722,271,320,0.799266262,0.612177597,COMPLETE
70,0.016024849,02:26.0,06:52.1,0 days 00:04:26.161475,selu,selu,selu,selu,selu,elu,elu,selu,701,802,501,996,776,938,0.740363968,0.862779139,COMPLETE
24,0.016028874,39:34.0,49:15.0,0 days 00:09:40.904854,selu,relu,selu,selu,selu,elu,relu,elu,399,265,454,1020,661,778,0.592888169,0.586571786,COMPLETE
17,0.016039369,24:36.0,34:41.6,0 days 00:10:05.588661,selu,elu,selu,selu,selu,elu,relu,elu,257,258,398,291,1012,850,0.737032169,0.898747045,COMPLETE
28,0.016049542,22:18.3,34:13.5,0 days 00:11:55.181765,relu,selu,selu,selu,selu,selu,relu,selu,421,499,659,780,955,794,0.883267599,0.647517432,COMPLETE
7,0.016058038,09:33.5,17:09.9,0 days 00:07:36.394642,selu,elu,relu,selu,elu,selu,elu,relu,411,569,851,422,904,544,0.606218664,0.696629264,COMPLETE
67,0.016061479,46:47.6,53:34.5,0 days 00:06:46.963930,relu,selu,selu,selu,selu,elu,elu,selu,419,807,559,1019,861,955,0.82160076,0.625143728,COMPLETE
59,0.016068876,53:08.3,59:25.7,0 days 00:06:17.328756,selu,selu,selu,selu,selu,elu,selu,elu,352,356,435,274,913,855,0.598757535,0.576511942,COMPLETE
39,0.016071623,18:46.4,28:41.2,0 days 00:09:54.738003,relu,selu,elu,selu,relu,selu,elu,selu,320,439,256,693,487,294,0.819383481,0.635137129,COMPLETE
29,0.016089946,34:13.7,44:41.0,0 days 00:10:27.310010,selu,selu,relu,elu,selu,selu,relu,selu,716,606,635,592,985,638,0.838381147,0.72497657,COMPLETE
83,0.016099814,06:05.9,10:03.6,0 days 00:03:57.691134,relu,selu,selu,selu,selu,elu,elu,selu,356,868,637,492,658,314,0.7411761,0.595682468,COMPLETE
37,0.016110378,58:19.9,09:13.9,0 days 00:10:54.016953,selu,selu,relu,elu,elu,selu,relu,selu,424,670,600,946,922,981,0.776516291,0.575387464,COMPLETE
86,0.016118762,18:26.3,22:35.8,0 days 00:04:09.495368,selu,selu,relu,selu,selu,elu,elu,selu,371,742,698,653,946,909,0.771176046,0.542866271,COMPLETE
60,0.016125102,59:25.7,05:50.8,0 days 00:06:25.079842,selu,relu,relu,selu,elu,elu,relu,selu,295,337,385,943,824,816,0.501432481,0.642785925,COMPLETE
3,0.016126077,40:00.7,47:42.5,0 days 00:07:41.729842,elu,relu,relu,elu,elu,relu,relu,elu,839,1005,764,646,537,434,0.838524367,0.625309407,COMPLETE
0,0.016127497,21:25.1,25:16.2,0 days 00:03:51.088438,elu,relu,relu,elu,elu,relu,relu,elu,839,1005,764,646,537,434,0.838524367,0.625309407,COMPLETE
2,0.016132313,28:57.3,33:43.4,0 days 00:04:46.058225,elu,selu,elu,elu,relu,relu,elu,relu,984,909,883,687,889,712,0.539338734,0.66844305,COMPLETE
5,0.016142338,54:53.8,02:31.4,0 days 00:07:37.660338,elu,selu,elu,elu,relu,relu,elu,relu,984,909,883,687,889,712,0.539338734,0.66844305,COMPLETE
1,0.01620017,25:16.2,28:57.3,0 days 00:03:41.046166,relu,relu,selu,relu,elu,selu,selu,relu,471,1009,759,734,342,397,0.786388206,0.821103002,COMPLETE
4,0.016217948,47:42.5,54:53.7,0 days 00:07:11.244034,relu,relu,selu,relu,elu,selu,selu,relu,471,1009,759,734,342,397,0.786388206,0.821103002,COMPLETE
19,0.016230319,46:22.4,57:47.0,0 days 00:11:24.603557,relu,elu,selu,selu,selu,elu,relu,elu,715,711,585,499,801,1006,0.62654535,0.585625183,COMPLETE
9,0.016258208,24:32.7,31:54.8,0 days 00:07:22.059673,elu,relu,relu,relu,selu,relu,elu,relu,825,1008,764,466,352,525,0.550525954,0.776081835,COMPLETE
