number,value,datetime_start,datetime_complete,duration,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_data_in_leaf,params_num_leaves,state
44,0.015356136525968959,2020-11-21 08:44:42.940415,2020-11-21 09:35:25.247466,0 days 00:50:42.307051,0.25,0.013353071113139691,2.0371859101175987e-05,2,1787,4,COMPLETE
45,0.01542836248139291,2020-11-21 09:35:25.386029,2020-11-21 10:30:42.662227,0 days 00:55:17.276198,0.35,0.7341773060665047,0.001317768554965962,2,3793,4,COMPLETE
46,0.015348515292343599,2020-11-21 10:30:42.814260,2020-11-21 11:20:10.752937,0 days 00:49:27.938677,0.2,0.0028874210466659517,0.00015974880136064535,2,2723,4,COMPLETE
47,0.01535768882491369,2020-11-21 11:20:10.969866,2020-11-21 12:08:53.789550,0 days 00:48:42.819684,0.2,0.0003431067220489867,0.0008441744231731498,2,1139,3,COMPLETE
48,0.01535692552061594,2020-11-21 12:08:53.891683,2020-11-21 13:05:47.186852,0 days 00:56:53.295169,0.45000000000000007,0.0026589130481437743,0.00024486540556777997,2,2110,4,COMPLETE
49,0.015386470854411399,2020-11-21 13:05:47.300071,2020-11-21 13:58:03.069637,0 days 00:52:15.769566,0.30000000000000004,0.00022568959337306596,0.0001727730315758985,2,3127,4,COMPLETE
50,0.015505484461978247,2020-11-21 13:58:03.201792,2020-11-21 15:01:12.116024,0 days 01:03:08.914232,0.7000000000000001,8.83724064075525e-06,0.0025377492466158993,2,4232,2,COMPLETE
51,0.015358927330065126,2020-11-21 15:01:12.368437,2020-11-21 15:49:24.197810,0 days 00:48:11.829373,0.15000000000000002,0.03421036699807423,1.0090212646059186e-05,2,2762,4,COMPLETE
52,0.015355273293054205,2020-11-21 15:49:24.340475,2020-11-21 16:36:04.004738,0 days 00:46:39.664263,0.1,0.08792162082851777,1.2088896419135316e-06,2,2508,4,COMPLETE
53,0.015361206805890752,2020-11-21 16:36:04.139491,2020-11-21 17:27:26.679148,0 days 00:51:22.539657,0.25,0.008901195235602203,4.0787784361292355e-05,2,2910,4,COMPLETE
