number,value,datetime_start,datetime_complete,duration,params_activation,params_denses,params_drop_rate0,params_drop_rate1,params_drop_rate2,params_drop_rate3,params_drop_rate4,params_drop_rate5,state
62,0.016988044990208947,2020-11-24 22:25:33.231739,2020-11-24 22:33:16.191520,0 days 00:07:42.959781,relu,"[1024, 1024, 1024, 1024, 1024]",0.27253853250464505,0.33560044583910326,0.5506098963798851,0.5687824334763673,0.5086721425615327,0.6231825722927948,COMPLETE
63,0.016879789798857188,2020-11-24 22:33:16.220443,2020-11-24 22:40:57.982867,0 days 00:07:41.762424,relu,"[1024, 1024, 1024, 1024, 1024]",0.22686032395169398,0.2548626552397243,0.5750507913187123,0.503048432222551,0.48921131106059723,0.6611291116508481,COMPLETE
64,0.016957642483852377,2020-11-24 22:40:58.010792,2020-11-24 22:48:38.347923,0 days 00:07:40.337131,relu,"[1024, 1024, 1024, 1024, 1024]",0.23206382894661995,0.26694201820834357,0.5747843898135793,0.4608169754931797,0.4844848067417089,0.5901317799778714,COMPLETE
65,0.016928143299198763,2020-11-24 22:48:38.377842,2020-11-24 22:56:27.538344,0 days 00:07:49.160502,relu,"[1024, 1024, 1024, 1024, 1024]",0.2281984752348642,0.2227396535378992,0.5785505394621697,0.4070626999615757,0.48581410442440526,0.5876014897103766,COMPLETE
66,0.017239401433954152,2020-11-24 22:56:27.567267,2020-11-24 23:04:36.021136,0 days 00:08:08.453869,relu,"[1024, 1024, 1024, 1024, 1024]",0.3564326711691789,0.2262053665830512,0.5833363112716506,0.31216277382705904,0.5680604527243783,0.510058260113007,COMPLETE
67,0.017129292754829863,2020-11-24 23:04:36.049061,2020-11-24 23:11:44.809890,0 days 00:07:08.760829,relu,"[1024, 1024, 1024, 1024, 1024]",0.2515010224695886,0.26392626672845754,0.6225360354576227,0.40302740439584933,0.5161008489203203,0.5533888440422546,COMPLETE
68,0.017019135619445253,2020-11-24 23:11:44.835820,2020-11-24 23:17:56.394570,0 days 00:06:11.558750,relu,"[1024, 1024, 1024, 1024, 1024]",0.27728010802263237,0.21913398595862027,0.5632079815361813,0.45820018812993246,0.6159006864467151,0.5957070277096262,COMPLETE
69,0.017138349850325522,2020-11-24 23:17:56.420526,2020-11-24 23:24:03.659324,0 days 00:06:07.238798,relu,"[1024, 1024, 1024, 1024, 1024]",0.2187638690505044,0.2026160076970208,0.6686588530666129,0.3457437704513333,0.46601629126560595,0.525832158188177,COMPLETE
70,0.017071998163319446,2020-11-24 23:24:03.684567,2020-11-24 23:30:12.839049,0 days 00:06:09.154482,relu,"[1024, 1024, 1024, 1024, 1024]",0.25850989286611653,0.25089101601494146,0.5370399234811003,0.47305409873948256,0.5313127169538878,0.5752874677465984,COMPLETE
71,0.016855081616700948,2020-11-24 23:30:12.864324,2020-11-24 23:36:19.463723,0 days 00:06:06.599399,relu,"[1024, 1024, 1024, 1024, 1024]",0.2298008903443356,0.280005900350926,0.6434883958826314,0.4268309857421873,0.48457948758408187,0.6594193599416295,COMPLETE
